TS,CAND,EVENT_ID,CLIENT,JOB_ID,STAGE,TYPE,BY,NOW,HIRE_DATE
2026-08-24 14:36:50.510,1787582206172x660297367643838400,1787582214681x974376411532346800,AVIV ,1786094117912x748763187480100900,,,Rodrigo Gomes,Sequence,
2026-08-24 14:36:50.510,1787582206172x660297367643838400,1787582214274x203182944934670270,AVIV ,1786094117912x748763187480100900,,,Rodrigo Gomes,Sequence,
2026-08-24 14:36:50.510,1787582206172x660297367643838400,1787582213948x296685374365833300,AVIV ,1786094117912x748763187480100900,Hired,Hired,Rodrigo Gomes,Sequence,
2026-08-24 14:36:50.510,1787582206172x660297367643838400,1787582211953x149799383323522720,AVIV ,1786094117912x748763187480100900,Interview 1,Interview 1,Rodrigo Gomes,Sequence,
2026-08-24 14:36:50.510,1787582206172x660297367643838400,1787582212687x508901961944267650,AVIV ,1786094117912x748763187480100900,Interview 2,Interview 2,Rodrigo Gomes,Sequence,
2026-08-24 14:36:50.510,1787582206172x660297367643838400,1787582213346x489924203594960450,AVIV ,1786094117912x748763187480100900,Interview 3,Interview 3,Rodrigo Gomes,Sequence,
2026-08-24 14:36:50.510,1787582206172x660297367643838400,1787582211617x553780543953554370,AVIV ,1786094117912x748763187480100900,Moved to ATS,Offsite,Rodrigo Gomes,Sequence,
2026-08-24 14:36:50.510,1787582206172x660297367643838400,1787582213672x251237411526351580,AVIV ,1786094117912x748763187480100900,Offer,Offer,Rodrigo Gomes,Sequence,
2026-08-24 14:36:50.510,1787582206172x660297367643838400,1787582210773x123257369177640620,AVIV ,1786094117912x748763187480100900,Positive response,Positive Response,Rodrigo Gomes,Sequence,
2026-08-24 14:36:50.510,1787582206172x660297367643838400,1787582211187x437257214023018200,AVIV ,1786094117912x748763187480100900,Recruiter Screen,Recruiter Screen,Rodrigo Gomes,Sequence,
2026-08-24 14:36:50.510,1787582206172x660297367643838400,1787582212337x217764831201527900,AVIV ,1786094117912x748763187480100900,Technical Interview ,Interview 1,Rodrigo Gomes,Sequence,
2026-08-24 14:42:06.872,1787582516578x648387953760663200,1787582531974x106799187289588590,AVIV ,1786094117912x748763187480100900,,,Rodrigo Gomes,Sequence,
2026-08-24 14:42:06.872,1787582516578x648387953760663200,1787582531294x641670194018300100,AVIV ,1786094117912x748763187480100900,,,Rodrigo Gomes,Sequence,
2026-08-24 14:42:06.872,1787582516578x648387953760663200,1787582530622x372534561979713800,AVIV ,1786094117912x748763187480100900,Hired,Hired,Rodrigo Gomes,Sequence,
2026-08-24 14:42:06.872,1787582516578x648387953760663200,1787582528592x815977473128894700,AVIV ,1786094117912x748763187480100900,Interview 1,Interview 1,Rodrigo Gomes,Sequence,
2026-08-24 14:42:06.872,1787582516578x648387953760663200,1787582529707x128211338973491800,AVIV ,1786094117912x748763187480100900,Interview 2,Interview 2,Rodrigo Gomes,Sequence,
2026-08-24 14:42:06.872,1787582516578x648387953760663200,1787582529978x770581968859286300,AVIV ,1786094117912x748763187480100900,Interview 3,Interview 3,Rodrigo Gomes,Sequence,
2026-08-24 14:42:06.872,1787582516578x648387953760663200,1787582527918x555094887187926000,AVIV ,1786094117912x748763187480100900,Moved to ATS,Offsite,Rodrigo Gomes,Sequence,
2026-08-24 14:42:06.872,1787582516578x648387953760663200,1787582530313x567784603512615300,AVIV ,1786094117912x748763187480100900,Offer,Offer,Rodrigo Gomes,Sequence,
2026-08-24 14:42:06.872,1787582516578x648387953760663200,1787582527101x580883273738316000,AVIV ,1786094117912x748763187480100900,Positive response,Positive Response,Rodrigo Gomes,Sequence,
2026-08-24 14:42:06.872,1787582516578x648387953760663200,1787582527460x695829845574894100,AVIV ,1786094117912x748763187480100900,Recruiter Screen,Recruiter Screen,Rodrigo Gomes,Sequence,
